season,overall_pick,round,round_pick,team_id,espn_player_id,gsis_id,player_name,position,pro_team,is_keeper,bid_amount
2024,93,10,3,7,4635008,00-0039901,Keon Coleman,WR,BUF,False,0
2024,94,10,4,2,4035676,00-0036251,Zack Moss,RB,CIN,False,0
2024,95,10,5,3,4040761,00-0035250,Devin Singletary,RB,NYG,False,0
2024,96,10,6,5,4432773,00-0039893,Brian Thomas Jr.,WR,JAX,False,0
2024,97,10,7,4,4362249,00-0039146,Jayden Reed,WR,GB,False,0
2024,98,10,8,1,4429205,00-0038994,Jordan Addison,WR,MIN,False,0
2024,99,10,9,6,4678008,00-0039344,Jonathon Brooks,RB,CAR,False,0
2024,100,10,10,9,3045138,00-0033536,Mike Williams,WR,LAC,False,0
2024,101,11,1,9,4036378,00-0036264,Jordan Love,QB,GB,False,0
2024,102,11,2,6,4036133,00-0035229,T.J. Hockenson,TE,MIN,False,0
2024,103,11,3,1,3917315,00-0035228,Kyler Murray,QB,ARI,False,0
2024,104,11,4,4,4241416,00-0036555,Chuba Hubbard,RB,CAR,False,0
2024,105,11,5,5,4432665,00-0039338,Brock Bowers,TE,LV,False,0
2024,106,11,6,3,3916433,00-0034960,Jakobi Meyers,WR,LV,False,0
2024,107,11,7,2,4361741,00-0037834,Brock Purdy,QB,SF,False,0
2024,108,11,8,7,4362238,00-0038597,Chase Brown,RB,CIN,False,0
2024,109,11,9,10,3051392,00-0033045,Ezekiel Elliott,RB,FA,False,0
2024,110,11,10,8,3128720,00-0034791,Nick Chubb,RB,CLE,False,0
2024,111,12,1,8,4426388,00-0037240,Jameson Williams,WR,DET,False,0
2024,112,12,2,10,4426348,00-0039910,Jayden Daniels,QB,WAS,False,0
2024,113,12,3,7,4241985,00-0036158,J.K. Dobbins,RB,LAC,False,0
2024,114,12,4,2,8439,00-0023459,Aaron Rodgers,QB,FA,False,0
2024,115,12,5,3,4038941,00-0036355,Justin Herbert,QB,LAC,False,0
2024,116,12,6,5,3051926,00-0034184,Gus Edwards,RB,FA,False,0
2024,117,12,7,4,15795,00-0030564,DeAndre Hopkins,WR,BAL,False,0
2024,118,12,8,1,4597500,00-0039890,Adonai Mitchell,WR,IND,False,0
2024,119,12,9,6,4373626,00-0037263,Tyler Allgeier,RB,ATL,False,0
2024,120,12,10,9,4241372,00-0035662,Hollywood Brown,WR,KC,False,0
2024,121,13,1,9,4722893,00-0038794,Jaleel McLaughlin,RB,DEN,False,0
2024,122,13,2,6,4242431,00-0037276,Ty Chandler,RB,MIN,False,0
2024,123,13,3,1,3121023,00-0034351,Dallas Goedert,TE,PHI,False,0
2024,124,13,4,4,2577327,00-0032211,Tyler Lockett,WR,FA,False,0
2024,125,13,5,5,4242433,00-0036988,Joshua Palmer,WR,BUF,False,0
2024,126,13,6,3,3117256,00-0034383,Dalton Schultz,TE,HOU,False,0
2024,127,13,7,2,-16005,,CLE D/ST,D/ST,CLE,False,0
2024,128,13,8,7,3122840,00-0033537,Deshaun Watson,QB,CLE,False,0
2024,129,13,9,10,4429096,00-0039738,Blake Corum,RB,LA,False,0
2024,130,13,10,8,-16006,,DAL D/ST,D/ST,DAL,False,0
2024,131,14,1,8,4361411,00-0036894,Pat Freiermuth,TE,PIT,False,0
2024,132,14,2,10,-16020,,NYJ D/ST,D/ST,NYJ,False,0
2024,133,14,3,7,-16033,,BAL D/ST,D/ST,BAL,False,0
2024,134,14,4,2,3055899,00-0033303,Harrison Butker,K,KC,False,0
2024,135,14,5,3,4360310,00-0036971,Trevor Lawrence,QB,JAX,False,0
2024,136,14,6,5,3953687,00-0037692,Brandon Aubrey,K,DAL,False,0
2024,137,14,7,4,15683,00-0029597,Justin Tucker,K,BAL,False,0
2024,138,14,8,1,-16025,,SF D/ST,D/ST,SF,False,0
2024,139,14,9,6,3050478,00-0033787,Jake Elliott,K,PHI,False,0
2024,140,14,10,9,-16026,,SEA D/ST,D/ST,SEA,False,0
2024,141,15,1,9,4429275,00-0039921,Trey Benson,RB,ARI,False,0
2024,142,15,2,6,-16023,,PIT D/ST,D/ST,PIT,False,0
2024,143,15,3,1,4241463,00-0036407,Jerry Jeudy,WR,CLE,False,0
2024,144,15,4,4,4431611,00-0039918,Caleb Williams,QB,CHI,False,0
2024,145,15,5,5,-16004,,CIN D/ST,D/ST,CIN,False,0
2024,146,15,6,3,-16018,,NO D/ST,D/ST,NO,False,0
2024,147,15,7,2,14880,00-0029604,Kirk Cousins,QB,ATL,False,0
2024,148,15,8,7,2971573,00-0032726,Ka'imi Fairbairn,K,HOU,False,0
2024,149,15,9,10,4360234,00-0036854,Evan McPherson,K,CIN,False,0
2024,150,15,10,8,16460,00-0030035,Adam Thielen,WR,CAR,False,0
2024,151,16,1,8,15965,00-0030098,Dustin Hopkins,K,CLE,False,0
2024,152,16,2,10,4040655,00-0036309,Darnell Mooney,WR,ATL,False,0
2024,153,16,3,7,4243537,00-0036196,Gabe Davis,WR,JAX,False,0
2024,154,16,4,2,2468609,00-0033357,Taysom Hill,TE,NO,False,0
2024,155,16,5,3,4362081,00-0037224,Cameron Dicker,K,LAC,False,0
2024,156,16,6,5,4038815,00-0036139,Rico Dowdle,RB,CAR,False,0
2024,157,16,7,4,-16012,,KC D/ST,D/ST,KC,False,0
2024,158,16,8,1,4689936,00-0039172,Jake Bates,K,DET,False,0
2024,159,16,9,6,4373678,00-0037261,Khalil Shakir,WR,BUF,False,0
2024,160,16,10,9,17427,00-0031203,Cairo Santos,K,CHI,False,0
2025,1,1,1,1,4362628,00-0036900,Ja'Marr Chase,WR,CIN,False,0
2025,2,1,2,4,4430807,00-0038542,Bijan Robinson,RB,ATL,False,0
