gsis_id,player_name,position,cfb_final_season,cfb_pass_yards,cfb_pass_td,cfb_rush_yards,cfb_rush_td,cfb_rec,cfb_rec_yards,cfb_rec_td
00-0033596,Matthew Dayes,RB,2016,,,1166.0,10.0,32.0,267.0,0.0
00-0033597,Chad Kelly,QB,2016,2758.0,19.0,332.0,5.0,,,
00-0034855,Baker Mayfield,QB,2017,4627.0,43.0,311.0,5.0,1.0,2.0,1.0
00-0034844,Saquon Barkley,RB,2017,36.0,1.0,1271.0,18.0,54.0,632.0,3.0
00-0034869,Sam Darnold,QB,2017,4143.0,26.0,82.0,5.0,,,
00-0034857,Josh Allen,QB,2017,1812.0,16.0,204.0,5.0,1.0,2.0,0.0
00-0034343,Josh Rosen,QB,2017,3717.0,26.0,-97.0,2.0,,,
00-0034827,D.J. Moore,WR,2017,15.0,0.0,61.0,1.0,80.0,1033.0,8.0
00-0034830,Hayden Hurst,TE,2017,0.0,0.0,30.0,1.0,44.0,559.0,2.0
00-0034837,Calvin Ridley,WR,2017,,,17.0,0.0,63.0,967.0,5.0
00-0034750,Rashaad Penny,RB,2017,,,2248.0,23.0,19.0,135.0,2.0
00-0034845,Sony Michel,RB,2017,,,1227.0,16.0,9.0,96.0,1.0
00-0034796,Lamar Jackson,QB,2018,,,2.0,0.0,,,
00-0034791,Nick Chubb,RB,2017,,,1345.0,15.0,4.0,30.0,0.0
00-0034816,Ronald Jones II,RB,2017,,,1550.0,19.0,14.0,187.0,1.0
00-0034348,Courtland Sutton,WR,2017,,,2.0,1.0,68.0,1085.0,12.0
00-0034829,Mike Gesicki,TE,2017,,,,,57.0,563.0,9.0
00-0034349,Kerryon Johnson,RB,2017,3.0,1.0,1391.0,18.0,24.0,194.0,2.0
00-0034860,Dante Pettis,WR,2017,36.0,0.0,50.0,0.0,63.0,761.0,7.0
00-0034775,Christian Kirk,WR,2017,,,31.0,0.0,71.0,919.0,10.0
00-0034351,Dallas Goedert,TE,2016,,,,,5.0,96.0,1.0
00-0034353,Anthony Miller,WR,2017,35.0,0.0,25.0,0.0,96.0,1462.0,18.0
00-0034358,Derrius Guice,RB,2017,,,1251.0,11.0,18.0,124.0,2.0
00-0034676,James Washington,WR,2017,,,12.0,1.0,74.0,1549.0,13.0
00-0034777,DJ Chark,WR,,,,,,,,
00-0034838,Royce Freeman,RB,2017,,,1475.0,16.0,14.0,164.0,0.0
00-0034771,Mason Rudolph,QB,2017,4904.0,37.0,35.0,10.0,,,
00-0034764,Michael Gallup,WR,2017,,,,,100.0,1413.0,7.0
00-0034753,Mark Andrews,TE,2017,,,,,62.0,958.0,8.0
00-0034765,Tre'Quan Smith,WR,2017,,,23.0,1.0,59.0,1171.0,13.0
00-0034364,Jordan Akins,TE,2017,,,,,32.0,515.0,4.0
00-0034365,Ian Thomas,TE,2017,,,,,25.0,376.0,5.0
00-0034366,Keke Coutee,WR,2017,,,15.0,0.0,93.0,1429.0,10.0
00-0034367,Nyheim Hines,RB,2017,,,1112.0,12.0,26.0,152.0,0.0
00-0034772,Antonio Callaway,WR,2016,,,32.0,1.0,54.0,721.0,3.0
00-0034766,Chris Herndon,TE,,,,,,,,
