season,team_id,as_of_week,end_week,n_weeks,player_name,overall_pick,pick_label,kind,label
2021,8,5,14,10,Baker Mayfield,129.0,13.09,out_for_season,Baker Mayfield out for season (13.09)
2021,8,6,10,5,Clyde Edwards-Helaire,29.0,3.09,out_3plus,Clyde Edwards-Helaire out 5 weeks (W6-W10) (3.09)
2021,8,9,14,6,Sam Darnold,,,out_for_season,Sam Darnold out for season
2021,8,13,14,2,Zack Moss,102.0,11.02,out_for_season,Zack Moss out for season (11.02)
2021,8,13,14,2,Ryan Tannehill,124.0,13.04,out_for_season,Ryan Tannehill out for season (13.04)
2021,9,7,9,3,Alexander Mattison,,,out_3plus,Alexander Mattison out 3 weeks (W7-W9)
2021,9,8,14,7,Calvin Ridley,16.0,2.06,out_3plus,Calvin Ridley out 7 weeks (W8-W14) (2.06)
2021,9,9,14,6,Allen Robinson II,33.0,4.03,out_for_season,Allen Robinson II out for season (4.03)
2021,10,9,14,6,Marquez Callaway,138.0,14.08,out_3plus,Marquez Callaway out 6 weeks (W9-W14) (14.08)
2021,10,9,12,4,Chuba Hubbard,,,out_3plus,Chuba Hubbard out 4 weeks (W9-W12)
2021,10,13,14,2,Christian McCaffrey,1.0,1.01,out_for_season,Christian McCaffrey out for season (1.01)
2022,1,6,8,3,James Conner,19.0,2.09,out_3plus,James Conner out 3 weeks (W6-W8) (2.09)
2022,1,8,14,7,Breece Hall,42.0,5.02,out_3plus,Breece Hall out 7 weeks (W8-W14) (5.02)
2022,1,9,14,6,Rashod Bateman,79.0,8.09,out_3plus,Rashod Bateman out 6 weeks (W9-W14) (8.09)
2022,1,12,14,3,Melvin Gordon III,109.0,11.09,out_3plus,Melvin Gordon III out 3 weeks (W12-W14) (11.09)
2022,1,13,14,2,Darnell Mooney,59.0,6.09,out_for_season,Darnell Mooney out for season (6.09)
2022,2,6,8,3,Darren Waller,55.0,6.05,out_3plus,Darren Waller out 3 weeks (W6-W8) (6.05)
2022,2,10,14,5,Darren Waller,55.0,6.05,out_3plus,Darren Waller out 5 weeks (W10-W14) (6.05)
